,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Sri Aman,90,MY,1514062800,94,1.24,111.46,75.2,0.81
1,Labuhan,44,ID,1514066819,91,-2.54,115.51,74.87,3.6
2,Portland,75,US,1514065980,60,45.52,-122.67,41.0,20.8
3,Ocos,20,GT,1514062800,41,14.51,-92.19,93.2,9.17
4,Halifax,90,CA,1514064600,100,44.65,-63.58,37.4,19.46
5,Pitimbu,20,BR,1514062800,74,-7.47,-34.81,80.6,10.29
6,Acari,92,BR,1514066821,70,-6.44,-36.64,77.79,9.86
7,Waipawa,0,NZ,1514066821,60,-39.94,176.59,67.76,6.85
8,Shirokiy,76,RU,1514066822,89,53.87,39.17,20.28,10.76
9,Coihaique,90,CL,1514062800,50,-45.58,-72.07,53.6,9.17
10,Faanui,0,PF,1514066823,99,-16.48,-151.75,83.64,14.56
11,Narsaq,0,GL,1514065800,49,60.91,-46.05,26.6,3.04
12,Qandala,0,SO,1514066824,100,11.47,49.87,56.01,4.5
13,Ayagoz,20,KZ,1514066826,53,47.96,80.43,-11.49,3.33
14,Corinto,48,BR,1514066826,60,-18.36,-44.46,83.01,3.11
15,Bogalusa,75,US,1514064900,76,30.79,-89.85,66.2,8.05
16,Bubaque,0,GW,1514062800,41,11.28,-15.83,75.2,3.36
17,Sitka,12,US,1514066828,48,37.17,-99.65,36.48,13.11
18,Hambantota,0,LK,1514066829,100,6.12,81.12,78.42,13.06
19,Sri Aman,90,MY,1514062800,94,1.24,111.46,75.2,0.81
20,Labuhan,44,ID,1514066819,91,-2.54,115.51,74.87,3.6
21,Portland,75,US,1514065980,60,45.52,-122.67,41.0,20.8
22,Ocos,20,GT,1514062800,41,14.51,-92.19,93.2,9.17
23,Halifax,90,CA,1514064600,100,44.65,-63.58,37.4,19.46
24,Pitimbu,20,BR,1514062800,74,-7.47,-34.81,80.6,10.29
25,Acari,92,BR,1514066821,70,-6.44,-36.64,77.79,9.86
26,Waipawa,0,NZ,1514066821,60,-39.94,176.59,67.76,6.85
27,Shirokiy,76,RU,1514066822,89,53.87,39.17,20.28,10.76
28,Coihaique,90,CL,1514062800,50,-45.58,-72.07,53.6,9.17
29,Faanui,0,PF,1514066823,99,-16.48,-151.75,83.64,14.56
30,Narsaq,0,GL,1514065800,49,60.91,-46.05,26.6,3.04
31,Qandala,0,SO,1514066824,100,11.47,49.87,56.01,4.5
32,Ayagoz,20,KZ,1514066826,53,47.96,80.43,-11.49,3.33
33,Corinto,48,BR,1514066826,60,-18.36,-44.46,83.01,3.11
34,Bogalusa,75,US,1514064900,76,30.79,-89.85,66.2,8.05
35,Bubaque,0,GW,1514062800,41,11.28,-15.83,75.2,3.36
36,Sitka,12,US,1514066828,48,37.17,-99.65,36.48,13.11
37,Hambantota,0,LK,1514066829,100,6.12,81.12,78.42,13.06
38,Tautira,75,PF,1514064600,62,-17.73,-149.15,89.6,12.75
39,Kathmandu,75,NP,1514065800,93,27.71,85.32,50.0,2.37
40,Bilma,0,NE,1514066950,48,18.69,12.92,58.31,15.12
41,Brandon,40,US,1514066160,72,43.59,-96.57,17.6,5.82
42,Nipawin,1,CA,1514062800,63,53.36,-104.02,-7.61,8.05
43,Bam,0,IR,1514066952,41,29.11,58.36,42.11,3.89
44,Muyezerskiy,88,RU,1514066952,87,63.93,31.65,23.43,7.81
45,Hohhot,0,CN,1514062800,57,40.81,111.65,17.6,11.18
46,Kendari,24,ID,1514066953,79,-3.99,122.52,76.62,3.89
47,Santiago del Estero,44,AR,1514066954,62,-27.8,-64.26,79.19,16.31
48,Dawei,0,MM,1514066954,79,14.07,98.19,71.85,1.99
49,Hualmay,24,PE,1514066955,68,-11.1,-77.61,73.11,4.61
50,Antofagasta,20,CL,1514062800,60,-23.65,-70.4,71.6,13.87
51,Anloga,20,GH,1514062800,64,5.79,0.9,75.2,2.24
52,Yellowknife,40,CA,1514062800,76,62.45,-114.38,-7.61,10.29
53,Khandbari,48,NP,1514066958,68,27.38,87.21,29.73,1.48
54,Tamandare,36,BR,1514066959,69,-8.28,-70.75,85.62,4.9
55,Sri Aman,90,MY,1514062800,94,1.24,111.46,75.2,0.81
56,Labuhan,44,ID,1514066819,91,-2.54,115.51,74.87,3.6
57,Portland,75,US,1514065980,60,45.52,-122.67,41.0,20.8
58,Ocos,20,GT,1514062800,41,14.51,-92.19,93.2,9.17
59,Halifax,90,CA,1514064600,100,44.65,-63.58,37.4,19.46
60,Pitimbu,20,BR,1514062800,74,-7.47,-34.81,80.6,10.29
61,Acari,92,BR,1514066821,70,-6.44,-36.64,77.79,9.86
62,Waipawa,0,NZ,1514066821,60,-39.94,176.59,67.76,6.85
63,Shirokiy,76,RU,1514066822,89,53.87,39.17,20.28,10.76
64,Coihaique,90,CL,1514062800,50,-45.58,-72.07,53.6,9.17
65,Faanui,0,PF,1514066823,99,-16.48,-151.75,83.64,14.56
66,Narsaq,0,GL,1514065800,49,60.91,-46.05,26.6,3.04
67,Qandala,0,SO,1514066824,100,11.47,49.87,56.01,4.5
68,Ayagoz,20,KZ,1514066826,53,47.96,80.43,-11.49,3.33
69,Corinto,48,BR,1514066826,60,-18.36,-44.46,83.01,3.11
70,Bogalusa,75,US,1514064900,76,30.79,-89.85,66.2,8.05
71,Bubaque,0,GW,1514062800,41,11.28,-15.83,75.2,3.36
72,Sitka,12,US,1514066828,48,37.17,-99.65,36.48,13.11
73,Hambantota,0,LK,1514066829,100,6.12,81.12,78.42,13.06
74,Tautira,75,PF,1514064600,62,-17.73,-149.15,89.6,12.75
75,Kathmandu,75,NP,1514065800,93,27.71,85.32,50.0,2.37
76,Bilma,0,NE,1514066950,48,18.69,12.92,58.31,15.12
77,Brandon,40,US,1514066160,72,43.59,-96.57,17.6,5.82
78,Nipawin,1,CA,1514062800,63,53.36,-104.02,-7.61,8.05
79,Bam,0,IR,1514066952,41,29.11,58.36,42.11,3.89
80,Muyezerskiy,88,RU,1514066952,87,63.93,31.65,23.43,7.81
81,Hohhot,0,CN,1514062800,57,40.81,111.65,17.6,11.18
82,Kendari,24,ID,1514066953,79,-3.99,122.52,76.62,3.89
83,Santiago del Estero,44,AR,1514066954,62,-27.8,-64.26,79.19,16.31
84,Dawei,0,MM,1514066954,79,14.07,98.19,71.85,1.99
85,Hualmay,24,PE,1514066955,68,-11.1,-77.61,73.11,4.61
86,Antofagasta,20,CL,1514062800,60,-23.65,-70.4,71.6,13.87
87,Anloga,20,GH,1514062800,64,5.79,0.9,75.2,2.24
88,Yellowknife,40,CA,1514062800,76,62.45,-114.38,-7.61,10.29
89,Khandbari,48,NP,1514066958,68,27.38,87.21,29.73,1.48
90,Tamandare,36,BR,1514066959,69,-8.28,-70.75,85.62,4.9
91,Te Anau,24,NZ,1514067080,60,-45.41,167.72,60.6,4.9
92,Privolzhskiy,0,RU,1514064600,85,55.96,48.41,21.2,11.18
93,Zeya,0,RU,1514067081,39,53.74,127.27,-26.84,2.04
94,Leirvik,88,NO,1514065800,81,59.78,5.5,44.6,16.11
95,Katobu,20,ID,1514067082,96,-4.94,122.53,82.16,6.35
96,Mersing,92,MY,1514067083,100,2.43,103.84,74.46,15.19
97,Loandjili,40,CG,1514062800,83,-4.77,11.87,80.6,3.36
98,Floro,88,NO,1514065800,86,61.6,5.03,41.0,16.11
99,Tuatapere,92,NZ,1514067084,77,-46.13,167.69,64.29,13.56
100,Barra do Garcas,24,BR,1514067085,89,-15.89,-52.26,79.59,3.11
101,Burnie,0,AU,1514067087,100,-41.05,145.91,57.32,20.56
102,Peniche,0,PT,1514066400,93,39.36,-9.38,48.2,2.24
103,Luganville,80,VU,1514067088,100,-15.51,167.18,79.37,7.25
104,Zarubino,68,RU,1514067089,100,42.65,131.06,22.35,3.56
105,Kaiserslautern,90,DE,1514066160,93,49.44,7.77,46.4,13.87
106,Tanout,0,NE,1514067090,35,14.97,8.88,66.77,16.08
107,Teeli,20,RU,1514067090,45,51.01,90.2,-10.82,2.37
108,Soloneshnoye,24,RU,1514067091,74,51.65,84.32,6.33,3.04
109,Birao,0,CF,1514067091,28,10.3,22.78,73.16,8.75
110,Sri Aman,90,MY,1514062800,94,1.24,111.46,75.2,0.81
111,Labuhan,44,ID,1514066819,91,-2.54,115.51,74.87,3.6
112,Portland,75,US,1514065980,60,45.52,-122.67,41.0,20.8
113,Ocos,20,GT,1514062800,41,14.51,-92.19,93.2,9.17
114,Halifax,90,CA,1514064600,100,44.65,-63.58,37.4,19.46
115,Pitimbu,20,BR,1514062800,74,-7.47,-34.81,80.6,10.29
116,Acari,92,BR,1514066821,70,-6.44,-36.64,77.79,9.86
117,Waipawa,0,NZ,1514066821,60,-39.94,176.59,67.76,6.85
118,Shirokiy,76,RU,1514066822,89,53.87,39.17,20.28,10.76
119,Coihaique,90,CL,1514062800,50,-45.58,-72.07,53.6,9.17
120,Faanui,0,PF,1514066823,99,-16.48,-151.75,83.64,14.56
121,Narsaq,0,GL,1514065800,49,60.91,-46.05,26.6,3.04
122,Qandala,0,SO,1514066824,100,11.47,49.87,56.01,4.5
123,Ayagoz,20,KZ,1514066826,53,47.96,80.43,-11.49,3.33
124,Corinto,48,BR,1514066826,60,-18.36,-44.46,83.01,3.11
125,Bogalusa,75,US,1514064900,76,30.79,-89.85,66.2,8.05
126,Bubaque,0,GW,1514062800,41,11.28,-15.83,75.2,3.36
127,Sitka,12,US,1514066828,48,37.17,-99.65,36.48,13.11
128,Hambantota,0,LK,1514066829,100,6.12,81.12,78.42,13.06
129,Tautira,75,PF,1514064600,62,-17.73,-149.15,89.6,12.75
130,Kathmandu,75,NP,1514065800,93,27.71,85.32,50.0,2.37
131,Bilma,0,NE,1514066950,48,18.69,12.92,58.31,15.12
132,Brandon,40,US,1514066160,72,43.59,-96.57,17.6,5.82
133,Nipawin,1,CA,1514062800,63,53.36,-104.02,-7.61,8.05
134,Bam,0,IR,1514066952,41,29.11,58.36,42.11,3.89
135,Muyezerskiy,88,RU,1514066952,87,63.93,31.65,23.43,7.81
136,Hohhot,0,CN,1514062800,57,40.81,111.65,17.6,11.18
137,Kendari,24,ID,1514066953,79,-3.99,122.52,76.62,3.89
138,Santiago del Estero,44,AR,1514066954,62,-27.8,-64.26,79.19,16.31
139,Dawei,0,MM,1514066954,79,14.07,98.19,71.85,1.99
140,Hualmay,24,PE,1514066955,68,-11.1,-77.61,73.11,4.61
141,Antofagasta,20,CL,1514062800,60,-23.65,-70.4,71.6,13.87
142,Anloga,20,GH,1514062800,64,5.79,0.9,75.2,2.24
143,Yellowknife,40,CA,1514062800,76,62.45,-114.38,-7.61,10.29
144,Khandbari,48,NP,1514066958,68,27.38,87.21,29.73,1.48
145,Tamandare,36,BR,1514066959,69,-8.28,-70.75,85.62,4.9
146,Te Anau,24,NZ,1514067080,60,-45.41,167.72,60.6,4.9
147,Privolzhskiy,0,RU,1514064600,85,55.96,48.41,21.2,11.18
148,Zeya,0,RU,1514067081,39,53.74,127.27,-26.84,2.04
149,Leirvik,88,NO,1514065800,81,59.78,5.5,44.6,16.11
150,Katobu,20,ID,1514067082,96,-4.94,122.53,82.16,6.35
151,Mersing,92,MY,1514067083,100,2.43,103.84,74.46,15.19
152,Loandjili,40,CG,1514062800,83,-4.77,11.87,80.6,3.36
153,Floro,88,NO,1514065800,86,61.6,5.03,41.0,16.11
154,Tuatapere,92,NZ,1514067084,77,-46.13,167.69,64.29,13.56
155,Barra do Garcas,24,BR,1514067085,89,-15.89,-52.26,79.59,3.11
156,Burnie,0,AU,1514067087,100,-41.05,145.91,57.32,20.56
157,Peniche,0,PT,1514066400,93,39.36,-9.38,48.2,2.24
158,Luganville,80,VU,1514067088,100,-15.51,167.18,79.37,7.25
159,Zarubino,68,RU,1514067089,100,42.65,131.06,22.35,3.56
160,Kaiserslautern,90,DE,1514066160,93,49.44,7.77,46.4,13.87
161,Tanout,0,NE,1514067090,35,14.97,8.88,66.77,16.08
162,Teeli,20,RU,1514067090,45,51.01,90.2,-10.82,2.37
163,Soloneshnoye,24,RU,1514067091,74,51.65,84.32,6.33,3.04
164,Birao,0,CF,1514067091,28,10.3,22.78,73.16,8.75
165,Sabang,64,PH,1514067212,98,13.72,123.58,78.06,9.15
166,Sayyan,0,YE,1514067212,61,15.17,44.32,25.77,2.55
167,Padang,88,ID,1514067213,100,-0.92,100.36,79.32,1.7
168,Digoin,90,FR,1514066400,87,46.48,3.98,44.6,3.0
169,Yar-Sale,80,RU,1514067215,94,66.83,70.83,17.13,13.67
170,Camacha,20,PT,1514066400,72,33.08,-16.33,60.8,6.93
171,Hobyo,44,SO,1514067216,82,5.35,48.53,76.22,23.35
172,Port Hedland,0,AU,1514066400,83,-20.31,118.58,82.4,5.82
173,Kozhevnikovo,88,RU,1514067217,90,56.26,83.98,14.43,5.57
174,Hovd,40,NO,1514065800,80,63.83,10.7,39.2,10.29
175,Sibu,75,MY,1514062800,100,2.29,111.83,75.2,1.12
176,Gubbi,0,IN,1514067219,92,13.31,76.94,58.53,5.84
177,Norman Wells,20,CA,1514066400,76,65.28,-126.83,-4.01,3.36
178,Mehamn,8,NO,1514067219,89,71.03,27.85,12.18,4.05
179,Del Rio,1,US,1514066160,27,29.36,-100.9,62.6,6.93
180,Aykhal,0,RU,1514067220,0,65.95,111.51,-40.92,2.77
181,Alice Springs,0,AU,1514066400,17,-23.7,133.88,86.0,1.12
182,Sorland,75,NO,1514065800,69,67.67,12.69,35.6,17.22
183,Sri Aman,90,MY,1514062800,94,1.24,111.46,75.2,0.81
184,Labuhan,44,ID,1514066819,91,-2.54,115.51,74.87,3.6
185,Portland,75,US,1514065980,60,45.52,-122.67,41.0,20.8
186,Ocos,20,GT,1514062800,41,14.51,-92.19,93.2,9.17
187,Halifax,90,CA,1514064600,100,44.65,-63.58,37.4,19.46
188,Pitimbu,20,BR,1514062800,74,-7.47,-34.81,80.6,10.29
189,Acari,92,BR,1514066821,70,-6.44,-36.64,77.79,9.86
190,Waipawa,0,NZ,1514066821,60,-39.94,176.59,67.76,6.85
191,Shirokiy,76,RU,1514066822,89,53.87,39.17,20.28,10.76
192,Coihaique,90,CL,1514062800,50,-45.58,-72.07,53.6,9.17
193,Faanui,0,PF,1514066823,99,-16.48,-151.75,83.64,14.56
194,Narsaq,0,GL,1514065800,49,60.91,-46.05,26.6,3.04
195,Qandala,0,SO,1514066824,100,11.47,49.87,56.01,4.5
196,Ayagoz,20,KZ,1514066826,53,47.96,80.43,-11.49,3.33
197,Corinto,48,BR,1514066826,60,-18.36,-44.46,83.01,3.11
198,Bogalusa,75,US,1514064900,76,30.79,-89.85,66.2,8.05
199,Bubaque,0,GW,1514062800,41,11.28,-15.83,75.2,3.36
200,Sitka,12,US,1514066828,48,37.17,-99.65,36.48,13.11
201,Hambantota,0,LK,1514066829,100,6.12,81.12,78.42,13.06
202,Tautira,75,PF,1514064600,62,-17.73,-149.15,89.6,12.75
203,Kathmandu,75,NP,1514065800,93,27.71,85.32,50.0,2.37
204,Bilma,0,NE,1514066950,48,18.69,12.92,58.31,15.12
205,Brandon,40,US,1514066160,72,43.59,-96.57,17.6,5.82
206,Nipawin,1,CA,1514062800,63,53.36,-104.02,-7.61,8.05
207,Bam,0,IR,1514066952,41,29.11,58.36,42.11,3.89
208,Muyezerskiy,88,RU,1514066952,87,63.93,31.65,23.43,7.81
209,Hohhot,0,CN,1514062800,57,40.81,111.65,17.6,11.18
210,Kendari,24,ID,1514066953,79,-3.99,122.52,76.62,3.89
211,Santiago del Estero,44,AR,1514066954,62,-27.8,-64.26,79.19,16.31
212,Dawei,0,MM,1514066954,79,14.07,98.19,71.85,1.99
213,Hualmay,24,PE,1514066955,68,-11.1,-77.61,73.11,4.61
214,Antofagasta,20,CL,1514062800,60,-23.65,-70.4,71.6,13.87
215,Anloga,20,GH,1514062800,64,5.79,0.9,75.2,2.24
216,Yellowknife,40,CA,1514062800,76,62.45,-114.38,-7.61,10.29
217,Khandbari,48,NP,1514066958,68,27.38,87.21,29.73,1.48
218,Tamandare,36,BR,1514066959,69,-8.28,-70.75,85.62,4.9
219,Te Anau,24,NZ,1514067080,60,-45.41,167.72,60.6,4.9
220,Privolzhskiy,0,RU,1514064600,85,55.96,48.41,21.2,11.18
221,Zeya,0,RU,1514067081,39,53.74,127.27,-26.84,2.04
222,Leirvik,88,NO,1514065800,81,59.78,5.5,44.6,16.11
223,Katobu,20,ID,1514067082,96,-4.94,122.53,82.16,6.35
224,Mersing,92,MY,1514067083,100,2.43,103.84,74.46,15.19
225,Loandjili,40,CG,1514062800,83,-4.77,11.87,80.6,3.36
226,Floro,88,NO,1514065800,86,61.6,5.03,41.0,16.11
227,Tuatapere,92,NZ,1514067084,77,-46.13,167.69,64.29,13.56
228,Barra do Garcas,24,BR,1514067085,89,-15.89,-52.26,79.59,3.11
229,Burnie,0,AU,1514067087,100,-41.05,145.91,57.32,20.56
230,Peniche,0,PT,1514066400,93,39.36,-9.38,48.2,2.24
231,Luganville,80,VU,1514067088,100,-15.51,167.18,79.37,7.25
232,Zarubino,68,RU,1514067089,100,42.65,131.06,22.35,3.56
233,Kaiserslautern,90,DE,1514066160,93,49.44,7.77,46.4,13.87
234,Tanout,0,NE,1514067090,35,14.97,8.88,66.77,16.08
235,Teeli,20,RU,1514067090,45,51.01,90.2,-10.82,2.37
236,Soloneshnoye,24,RU,1514067091,74,51.65,84.32,6.33,3.04
237,Birao,0,CF,1514067091,28,10.3,22.78,73.16,8.75
238,Sabang,64,PH,1514067212,98,13.72,123.58,78.06,9.15
239,Sayyan,0,YE,1514067212,61,15.17,44.32,25.77,2.55
240,Padang,88,ID,1514067213,100,-0.92,100.36,79.32,1.7
241,Digoin,90,FR,1514066400,87,46.48,3.98,44.6,3.0
242,Yar-Sale,80,RU,1514067215,94,66.83,70.83,17.13,13.67
243,Camacha,20,PT,1514066400,72,33.08,-16.33,60.8,6.93
244,Hobyo,44,SO,1514067216,82,5.35,48.53,76.22,23.35
245,Port Hedland,0,AU,1514066400,83,-20.31,118.58,82.4,5.82
246,Kozhevnikovo,88,RU,1514067217,90,56.26,83.98,14.43,5.57
247,Hovd,40,NO,1514065800,80,63.83,10.7,39.2,10.29
248,Sibu,75,MY,1514062800,100,2.29,111.83,75.2,1.12
249,Gubbi,0,IN,1514067219,92,13.31,76.94,58.53,5.84
250,Norman Wells,20,CA,1514066400,76,65.28,-126.83,-4.01,3.36
251,Mehamn,8,NO,1514067219,89,71.03,27.85,12.18,4.05
252,Del Rio,1,US,1514066160,27,29.36,-100.9,62.6,6.93
